브랜드,제품명,원래 가격,최종 가격,리뷰 수,리뷰 등급,점수 비율_5점,점수 비율_4점,점수 비율_3점,점수 비율_2점,점수 비율_1점,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요
에스트라,에스트라 아토베리어365 하이드로 수딩크림 60ml,0,33000,9323,5,84,12,3,0,1,27,53,20,65,35,0,81,19,1
닥터지,[증량] 닥터지 로얄 블랙스네일 아이크림 30ml+10ml 기획,38000,24700,393,5,86,11,3,0,0,48,47,5,46,17,37,68,32,1
셀퓨전씨,셀퓨전씨 레이저 리쥬버네이션 크림 (본품 50ml+20ml 추가 증정),40000,19500,3327,5,80,15,4,1,0,31,61,8,46,50,4,74,26,1
에센허브,[한정기획] 에센허브 티트리 수딩 인 카밍 크림 80ml 기획(+크림 10ml),34000,15300,326,5,82,14,2,2,0,11,70,20,24,76,0,70,30,0
닥터지,[단독기획] 닥터지 레드 블레미쉬 클리어 모이스처 크림 70ml+30ml 기획,39000,29250,1905,5,84,11,4,1,1,46,47,7,66,34,1,75,25,1
가히,가히 멀티밤 9g,37800,22600,14504,5,74,17,6,1,1,60,37,3,56,12,32,62,38,1
프리메라,[7월 올영픽/리필증정] 프리메라 알파인 베리 워터리 크림 1+1 기획,41000,34800,1494,5,84,12,3,1,0,43,52,5,75,25,0,75,25,0
스킨앤랩,스킨앤랩 베리어덤 인텐시브 크림 50ml 기획 (+ 크림 30ml 증정),23000,16100,4116,5,84,11,4,0,1,41,51,8,68,32,1,73,27,1
리얼베리어,[수분 진정] 리얼베리어 익스트림 크림 라이트 70ml 1+1 리필 기획,36000,25200,1099,5,82,13,3,1,1,39,54,7,73,27,0,77,23,0
바이오힐보,[NEW] 바이오힐보 판테셀 리페어시카 크림 50mL+50mL 기획,57600,34500,4511,5,84,11,4,1,1,27,60,13,41,59,2,75,23,2
아비브,[7월 올영픽/24시간수분잠금] 아비브 수분초 히알루론 크림 하이드레이팅 팟 80ml 1+1 기획,35000,24500,2201,5,86,10,3,1,0,32,57,11,71,29,1,85,13,2
